Unnamed: 0,parent_knowledge_status,parentcontrol,sexualexperience,serious_relationship,notserious_relationship,meeting_online_experience,online_and_never_met,socialmedia_interested_interactedsm,socialmedia_interested_friendedsm,interested_friendedsm,interested_text,interested_video,interested_music,interested_sexypics,interested_inperson,interested_other,search_information_current,friended_setup,search_information_past,askout_text,askout_inperson,askout_phone,askout_dm,askout_friendasked,askout_wait,askout_other,shared_passwords,time_outsideschoool,time_phone,time_text,time_online,time_videochat,time_email,time_socialmediapost,time_messagingapps,shareonline_location,shareonline_activity,shareonline_thoughts,shareonline_friends,shareonline_school,shareonline_health,shareonline_family,shareonline_politics,shareonline_religion,shareonline_funny,pparent_knowledge_status
169,1,do_not_limit,no,,,,,1,yes,no,no,no,no,no,no,no,yes,no,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,yes
170,2,,no,,,,,2,yes,no,no,no,no,no,yes,no,yes,no,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
171, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
173,1,do_not_limit,yes,yes,,one,no,1,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,less_often,less_often,everyday,everyday,every_few_days,less_often,less_often,every_few_days,yes,yes,yes,,no,no,yes,no,no,yes,yes
174,3,,yes,no,yes,none,,1,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,less_often,every_few_days,everyday,less_often,less_often,every_few_days,less_often,every_few_days,yes,yes,yes,,yes,yes,no,no,no,yes,not_sure
175,1,do_not_limit,yes,yes,,one,no,1,yes,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,every_few_days,every_few_days,everyday,never,never,never,every_few_days,never,yes,yes,yes,,no,no,no,no,no,yes,yes
176, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,2,,yes,no,no,none,,1,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,every_few_days,everyday,everyday,everyday,never,never,everyday,everyday,yes,yes,yes,,yes,yes,yes,yes,yes,yes,no
178,2,,no,,,,,1,yes,yes,no,no,no,no,yes,no,yes,yes,,no,no,no,yes,no,no,no,,,,,,,,,,,,,,,,,,,,no
179, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,1,do_not_limit,yes,yes,,2-5,no,1,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,everyday,everyday,everyday,every_few_days,every_few_days,less_often,every_few_days,never,yes,yes,yes,,yes,no,no,no,no,yes,yes
181,1,do_not_limit,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,no,,,,,,,,,,,,,,,,,,,,yes
182,2,,no,,,,,1,yes,no,no,no,no,no,yes,no,yes,no,,yes,no,no,yes,yes,no,no,,,,,,,,,,,,,,,,,,,,no
183,2,,no,,,,,2,yes,no,no,no,no,no,yes,no,no,no,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
184,2,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
185,2,,yes,no,no,none,,2,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,never,never,never,never,never,never,never,never,no,no,no,,no,no,no,no,no,no,no
186,2,,no,,,,,1,yes,yes,yes,no,no,no,yes,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
187,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
188, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,2,,yes,yes,,none,,2,no,yes,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,no
190,3,,no,,,,,2,yes,no,no,no,no,no,no,no,yes,no,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,not_sure
191,2,,no,,,,,1,yes,yes,no,no,no,no,yes,no,yes,yes,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
192, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,2,,yes,no,no,one,no,1,no,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,everyday,everyday,everyday,everyday,less_often,never,less_often,never,yes,yes,yes,,yes,yes,yes,no,no,yes,no
194,1,limit_time,no,,,,, ,,no,no,no,yes,no,no,no,no,,,no,no,yes,no,no,no,no,,,,,,,,,,,,,,,,,,,,yes
195, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,2,,no,,,,,1,yes,yes,yes,no,no,no,yes,no,yes,no,,yes,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
197,2,,no,,,,, ,,no,no,no,no,no,yes,no,no,,,yes,yes,no,no,yes,no,no,,,,,,,,,,,,,,,,,,,,no
198,2,,yes,no,no,none,,1,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,yes,every_few_days,everyday,everyday,less_often,less_often,never,every_few_days,less_often,yes,yes,yes,,yes,yes,yes,yes,yes,yes,no
199,2,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,no,no,no,no,no,yes,,,,,,,,,,,,,,,,,,,,no
200,1,limit_time,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,yes
201,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,no,yes,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
202, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,2,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
204,2,,no,,,,,1,yes,yes,no,no,yes,no,no,yes,no,no,,yes,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
205, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,2,,yes,no,no,none,,1,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,every_few_days,everyday,everyday,never,never,never,less_often,less_often,yes,yes,no,,no,no,no,no,no,no,no
207,3,,yes,yes,,2-5,yes,1,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,never,everyday,everyday,everyday,everyday,everyday,everyday,everyday,yes,yes,yes,,no,no,yes,no,no,yes,not_sure
208, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,1,do_not_limit,yes,yes,,none,,2,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,less_often,every_few_days,everyday,never,every_few_days,every_few_days,less_often,never,yes,yes,yes,,no,yes,yes,no,no,yes,yes
211, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,2,,yes,no,no,none,,1,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,every_few_days,less_often,everyday,everyday,less_often,every_few_days,everyday,everyday,yes,yes,yes,,yes,no,yes,no,no,yes,no
213,2,,no,,,,,1,yes,yes,no,no,no,no,no,no,yes,yes,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
214,1,limit_time,no,,,,,1,yes,yes,yes,yes,yes,yes,yes,no,no,no,,yes,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,yes
215,2,,yes,no,no,none,,1,yes,no,no,no,no,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,every_few_days,never,everyday,never,never,never,less_often,never,no,no,no,,no,no,no,no,no,no,no
216,2,,no,,,,,1,yes,yes,no,no,no,no,no,no,no,no,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
217,2,,yes,no,no,none,,1,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,every_few_days,never,everyday,less_often,never,never,never,never,yes,yes,yes,,yes,no,yes,no,no,yes,no
218,2,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
219,2,,no,,,,, ,,yes,no,no,no,no,yes,no,no,,,no,yes,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
220,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
221,2,,yes,no,no,none,,1,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,every_few_days,less_often,every_few_days,less_often,less_often,never,every_few_days,never,no,no,no,,yes,no,yes,no,no,yes,no
222, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2,,yes,no,no,none,,2,yes,no,no,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,every_few_days,every_few_days,everyday,never,never,never,less_often,never,yes,yes,yes,,yes,no,no,no,no,yes,no
226, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,1,limit_time,no,,,,,1,yes,no,no,no,no,no,yes,no,yes,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,yes
228, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,2,,no,,,,,1,yes,yes,no,no,no,no,yes,no,no,no,,yes,no,no,yes,no,no,no,,,,,,,,,,,,,,,,,,,,no
230,2,,yes,no,no,none,,1,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,every_few_days,everyday,everyday,never,never,never,less_often,never,yes,yes,yes,,yes,no,yes,no,yes,yes,no
231,2,,no,,,,, ,,no,yes,no,no,no,yes,no,no,,,yes,no,no,no,yes,no,no,,,,,,,,,,,,,,,,,,,,no
232, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,1,do_not_limit,yes,no,yes,none,,1,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,less_often,every_few_days,everyday,every_few_days,less_often,never,less_often,less_often,yes,no,yes,,yes,yes,no,no,no,yes,yes
235,2,,yes,no,yes,one,no,2,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,every_few_days,less_often,everyday,every_few_days,less_often,never,never,,yes,yes,yes,,yes,yes,yes,no,yes,yes,no
236,1,limit_time,no,,,,,1,yes,yes,no,no,no,no,yes,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,yes
237, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,3,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,no,no,no,no,no,yes,,,,,,,,,,,,,,,,,,,,not_sure
239,2,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,no,no,no,no,no,yes,,,,,,,,,,,,,,,,,,,,no
240, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,2,,no,,,,,2,yes,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
243,1,limit_time,yes,yes,,none,,1,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,every_few_days,every_few_days,everyday,less_often,never,never,less_often,never,no,yes,yes,,no,no,no,no,no,yes,yes
244,2,,yes,no,no,none,,1,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,less_often,less_often,every_few_days,every_few_days,less_often,less_often,every_few_days,every_few_days,yes,yes,yes,,yes,no,yes,no,no,yes,no
245,2,,no,,,,,2,yes,yes,no,no,no,no,yes,no,no,no,,no,yes,yes,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
246, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,1,do_not_limit,no,,,,,2,yes,no,yes,no,no,no,yes,no,yes,no,,yes,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,yes
248, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,2,,no,,,,,1,yes,yes,no,no,no,no,yes,no,no,no,,no,no,no,no,yes,yes,no,,,,,,,,,,,,,,,,,,,,no
250,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
251,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
252,2,,no,,,,,1,yes,no,no,no,no,no,no,no,yes,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
253,2,,yes,no,no,none,,2,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,every_few_days,every_few_days,everyday,everyday,never,never,never,everyday,yes,yes,yes,,yes,yes,yes,yes,yes,yes,no
254, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,2,,no,,,,,2,no,no,no,no,no,no,yes,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
256,2,,no,,,,,1,yes,yes,yes,no,yes,no,yes,no,yes,yes,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
257, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,2,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
259,1,do_not_limit,yes,yes,,none,,1,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,yes,every_few_days,everyday,everyday,never,never,never,less_often,never,yes,yes,yes,,no,no,no,no,no,no,yes
260,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
261,2,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
262, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,no,no,no,yes,no,no,,,,,,,,,,,,,,,,,,,,no
264, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,2,,no,,,,, ,,no,no,no,no,no,yes,no,no,,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
266,2,,no,,,,,2,yes,no,no,no,no,no,yes,no,no,no,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
267,3,,yes,yes,,none,, ,,yes,no,yes,no,no,yes,no,yes,,no,no,yes,no,no,no,no,no,no,never,every_few_days,everyday,every_few_days,every_few_days,never,,everyday,yes,yes,yes,,yes,yes,yes,no,no,yes,not_sure
268, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,2,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,no,yes,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
272,1,limit_time,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,yes
273,1,limit_time,yes,yes,,none,,1,yes,yes,yes,no,no,yes,yes,no,no,no,no,yes,no,yes,no,no,yes,no,no,every_few_days,everyday,everyday,every_few_days,every_few_days,never,less_often,never,yes,yes,yes,,no,yes,yes,no,no,yes,yes
274,3,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,not_sure
275, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,2,,no,,,,,1,yes,yes,no,no,no,no,yes,no,no,no,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
280,2,,no,,,,,2,no,yes,no,no,no,no,yes,no,yes,no,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
281,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
282, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,2,,no,,,,,2,yes,no,no,no,no,no,no,no,no,no,,no,no,no,no,yes,no,no,,,,,,,,,,,,,,,,,,,,no
285,2,,no,,,,, ,,no,no,no,no,no,yes,no,yes,,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
286, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,1,limit_time,no,,,,,1,yes,no,no,no,no,no,no,no,no,no,,yes,no,yes,no,no,no,no,,,,,,,,,,,,,,,,,,,,yes
289,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
290,2,,yes,no,no,one,no,1,yes,yes,yes,no,yes,yes,yes,,yes,yes,no,no,no,no,no,no,yes,no,no,less_often,every_few_days,everyday,every_few_days,everyday,less_often,every_few_days,every_few_days,yes,yes,yes,,yes,yes,yes,yes,yes,yes,no
291, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,2,,no,,,,, ,,yes,no,no,no,no,no,no,no,,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
293,1,do_not_limit,yes,no,no,one,no,1,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,every_few_days,every_few_days,everyday,everyday,never,never,everyday,,yes,yes,yes,,no,no,yes,no,yes,no,yes
294,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,no,no,no,yes,no,no,,,,,,,,,,,,,,,,,,,,no
295,1,limit_time,yes,yes,,none,,1,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,every_few_days,everyday,everyday,every_few_days,less_often,never,everyday,everyday,yes,yes,yes,,yes,no,no,no,no,yes,yes
296, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
298, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,2,,no,,,,,1,no,yes,yes,no,no,no,yes,no,yes,yes,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
300,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
301, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,2,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
304,2,,no,,,,,2,yes,no,no,no,no,no,no,no,no,no,,no,no,yes,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
305,2,,yes,no,yes,none,,1,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,every_few_days,every_few_days,everyday,never,never,never,less_often,never,yes,yes,yes,,yes,no,no,no,no,yes,no
306, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,2,,no,,,,,2,yes,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,yes,yes,no,,,,,,,,,,,,,,,,,,,,no
308,1,do_not_limit,yes,yes,,none,,2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,everyday,everyday,everyday,everyday,never,never,everyday,never,yes,yes,yes,,yes,yes,yes,no,no,yes,yes
309, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2,,yes,no,no,5+,yes,2,no,yes,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,never,never,never,never,never,never,never,everyday,yes,yes,yes,,yes,yes,yes,no,yes,yes,no
312,1,limit_time,yes,yes,,none,,1,yes,yes,yes,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,less_often,everyday,everyday,less_often,less_often,less_often,every_few_days,less_often,yes,yes,yes,,yes,no,no,no,no,yes,yes
313, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,2,,no,,,,,1,yes,yes,no,no,no,no,no,no,no,yes,,no,yes,yes,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
315, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,2,,yes,no,no,none,,2,yes,yes,yes,no,no,no,yes,,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,every_few_days,everyday,everyday,everyday,every_few_days,less_often,everyday,everyday,yes,yes,yes,,yes,yes,yes,no,yes,yes,no
317,3,,no,,,,,1,yes,yes,no,no,no,no,yes,no,yes,yes,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,not_sure
318,2,,yes,no,no,2-5,no,1,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,every_few_days,everyday,everyday,everyday,less_often,everyday,everyday,everyday,yes,yes,yes,,yes,no,yes,no,yes,yes,no
319,1,limit_time,yes,no,yes,none,,1,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,less_often,everyday,everyday,everyday,everyday,never,everyday,never,yes,yes,yes,,no,no,yes,no,no,yes,yes
320, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,2,,no,,,,, ,,yes,no,no,no,no,yes,no,yes,,,yes,yes,yes,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
323,2,,no,,,,,1,yes,yes,no,no,no,no,yes,yes,no,no,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
324,2,,no,,,,,1,yes,yes,yes,no,no,no,yes,no,no,no,,no,yes,yes,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
325,3,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,not_sure
326,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
327,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,no,yes,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
328, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,2,,no,,,,,2,yes,no,no,no,no,no,yes,no,no,no,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
332,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
333,1,limit_time,yes,yes,,none,,1,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,every_few_days,every_few_days,everyday,never,less_often,never,less_often,everyday,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes
334,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
335,2,,no,,,,,1,yes,yes,yes,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
336,1,do_not_limit,yes,yes,,none,,1,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,every_few_days,everyday,less_often,never,every_few_days,never,never,less_often,yes,yes,yes,,no,yes,no,no,no,yes,yes
337,2,,no,,,,,2,no,no,no,no,no,no,no,no,no,no,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
338,1,do_not_limit,yes,yes,,none,,1,yes,no,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,every_few_days,every_few_days,everyday,everyday,every_few_days,never,less_often,less_often,yes,yes,yes,,no,no,yes,no,yes,yes,yes
339, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
341,2,,no,,,,, ,,yes,no,no,no,no,yes,no,no,,,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
342,2,,no,,,,,1,yes,no,no,no,no,no,yes,no,no,no,,no,yes,yes,no,no,yes,no,,,,,,,,,,,,,,,,,,,,no
343,2,,yes,no,no,none,,1,yes,yes,yes,no,no,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,no,everyday,everyday,everyday,everyday,less_often,never,everyday,everyday,yes,yes,yes,,yes,no,yes,no,yes,yes,no
344,2,,yes,no,no,none,,1,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,less_often,less_often,everyday,everyday,less_often,never,every_few_days,everyday,yes,yes,yes,,yes,no,no,no,no,yes,no
345,2,,no,,,,, ,,no,no,no,no,no,no,no,no,,,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,no
346, ,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
